participant_id,condition,age,gender,date_tested,rt_mean_ms,accuracy,stress_1,stress_2,stress_3,stress_4,stress_5,stress_score
P049,stress,27,female,2026-03-24,761.9,0.811,4,3,2,2,3,3.2
P050,stress,26,female,2026-04-08,579.5,0.892,4,5,3,5,4,4.2
P051,stress,31,male,2026-03-23,693.2,0.929,5,4,1,5,5,4.8
P052,control,23,female,2026-04-01,558.8,0.831,2,3,3,3,3,2.8
P053,control,34,male,2026-03-14,803.9,0.894,2,3,3,3,1,2.4
P054,control,24,female,2026-04-07,782.8,0.906,2,2,4,2,2,2.0
P055,control,27,male,2026-04-03,730.9,0.85,2,1,4,3,4,2.4
P056,control,27,male,2026-04-07,566.3,0.891,3,2,5,4,4,2.8
P057,stress,32,non-binary,2026-03-31,658.0,0.847,2,3,3,3,4,3.0
P058,control,26,male,2026-03-27,691.2,0.921,3,3,2,2,3,3.0
P059,stress,23,male,2026-03-23,866.6,0.889,5,5,1,5,5,5.0
P060,stress,19,male,2026-04-08,632.7,0.836,5,4,1,5,4,4.6
P061,stress,24,male,2026-04-04,640.1,0.796,4,5,1,5,5,4.8
P062,stress,32,female,2026-03-18,840.2,0.815,4,4,2,5,3,4.0
P063,control,19,female,2026-03-05,691.0,0.863,4,5,1,4,4,4.4
P064,stress,33,female,2026-03-02,846.3,0.84,4,5,1,4,4,4.4
P065,control,27,male,2026-03-11,497.3,0.893,3,3,1,3,4,3.6
P066,control,21,female,2026-03-04,646.7,0.869,2,2,4,1,3,2.0
P067,stress,23,female,2026-03-10,731.8,0.818,3,3,3,3,3,3.0
P068,control,27,male,2026-03-06,537.6,0.881,3,3,3,4,2,3.0
P069,control,24,female,2026-04-10,774.5,0.812,3,2,3,1,3,2.4
P070,control,20,female,2026-03-05,778.3,0.938,3,3,4,2,2,2.4
P071,stress,29,female,2026-03-27,635.3,0.927,4,5,2,3,5,4.2
P072,control,29,female,2026-03-16,660.4,0.85,3,4,3,3,4,3.4
P073,control,20,female,2026-03-08,748.1,0.905,3,3,5,1,2,2.0
P074,control,23,female,2026-03-30,641.0,0.854,1,2,4,3,2,2.0
P075,stress,22,female,2026-04-09,777.4,0.779,4,3,3,4,1,3.0
P076,control,29,female,2026-04-02,552.5,0.929,1,2,4,2,1,1.6
P077,control,30,female,2026-04-10,671.8,0.888,3,3,4,3,4,3.0
P078,control,30,male,2026-03-25,644.8,0.977,3,2,5,2,2,2.0
P079,stress,34,female,2026-03-28,649.2,0.877,4,2,4,2,3,2.6
P080,stress,31,male,2026-03-07,568.2,0.86,4,4,3,4,5,4.0
P081,stress,24,male,2026-04-05,645.6,0.859,3,3,3,3,5,3.4
P082,control,20,female,2026-03-31,783.8,0.93,3,3,3,4,3,3.2
P083,control,28,female,2026-03-12,711.5,0.868,1,1,5,3,1,1.4
P084,stress,33,female,2026-03-16,697.2,0.714,3,3,3,4,4,3.4
P085,stress,34,male,2026-03-26,705.7,0.818,4,5,2,5,5,4.6
P086,stress,22,male,2026-03-02,738.3,0.709,2,2,4,3,4,2.6
P087,control,22,male,2026-04-03,623.8,0.923,2,4,2,1,3,2.8
P088,control,19,female,2026-03-13,553.4,0.923,2,4,3,3,3,3.0
P089,stress,21,male,2026-03-04,779.6,0.903,3,5,2,4,5,4.2
P090,stress,27,female,2026-03-15,754.7,0.911,5,5,2,4,3,4.2
P091,control,27,male,2026-04-04,540.0,0.962,3,1,4,3,3,2.4
P092,stress,24,female,2026-03-12,746.7,0.81,5,4,1,5,5,4.8
P093,stress,23,male,2026-03-23,903.2,0.869,3,4,3,1,1,2.4
P094,control,32,male,2026-04-03,497.1,0.859,4,3,3,4,2,3.2
P095,stress,26,female,2026-03-03,692.4,0.84,5,4,2,4,4,4.2
P096,control,31,male,2026-04-01,719.7,0.86,5,4,3,4,5,4.2
P097,control,34,female,2026-03-13,724.7,0.971,5,5,1,5,5,5.0
P098,stress,24,male,2026-03-29,608.0,0.888,3,3,1,5,4,4.0
P099,stress,22,female,2026-03-09,640.0,0.881,4,2,4,2,4,2.8
P100,control,34,male,2026-03-07,572.4,0.95,1,3,3,2,1,2.0
P101,stress,29,female,2026-04-02,750.1,0.898,1,1,5,3,2,1.6
P102,control,23,non-binary,2026-04-03,667.6,0.789,3,1,4,1,2,1.8
P103,stress,28,male,2026-04-10,651.1,0.846,4,5,2,4,3,4.0
P104,control,27,male,2026-03-29,743.0,0.893,1,2,4,1,2,1.6
P105,stress,33,male,2026-03-20,786.5,0.788,5,5,1,5,4,4.8
P106,stress,23,male,2026-03-09,705.6,0.808,5,4,1,5,5,4.8
P107,stress,34,male,2026-03-13,661.2,0.873,3,3,1,4,4,3.8
P108,stress,33,female,2026-03-27,769.4,0.783,3,2,3,4,4,3.2
P109,control,21,male,2026-03-15,657.4,0.931,5,5,1,4,5,4.8
P110,stress,21,female,2026-03-21,589.7,0.765,4,4,1,4,5,4.4
P111,control,27,male,2026-03-08,593.8,0.868,4,3,4,2,3,2.8
P112,stress,19,female,2026-03-19,743.6,0.847,5,5,1,5,5,5.0
P113,stress,23,male,2026-03-11,639.0,0.987,3,1,3,3,3,2.6
P114,control,25,male,2026-03-06,589.8,0.903,5,5,1,4,4,4.6
P115,stress,34,female,2026-03-07,589.1,0.928,3,2,1,3,4,3.4
P116,stress,34,female,2026-03-22,840.3,0.849,5,5,1,4,4,4.6
P117,control,21,male,2026-03-16,659.5,0.857,2,3,5,3,3,2.4
P118,control,33,male,2026-03-05,661.9,0.832,2,3,5,4,1,2.2
P119,control,20,female,2026-03-22,548.8,0.842,4,5,1,5,5,4.8
P120,control,30,male,2026-03-08,601.5,0.893,4,2,2,3,3,3.2
P121,control,32,male,2026-03-02,755.0,0.786,2,2,3,3,4,2.8
P122,stress,33,female,2026-03-07,693.6,0.813,5,5,1,4,4,4.6
P123,stress,22,female,2026-03-19,623.5,0.908,4,4,2,3,4,3.8
P124,control,33,female,2026-04-09,491.1,0.877,2,4,2,4,2,3.2
P125,stress,20,male,2026-03-11,899.8,0.836,3,5,1,5,4,4.4
P126,stress,27,female,2026-03-13,614.1,0.776,3,3,2,3,3,3.2
P127,control,26,male,2026-03-11,630.6,0.952,1,1,4,1,3,1.6
P128,stress,24,male,2026-03-16,741.2,0.927,5,3,1,5,5,4.6
P129,stress,19,female,2026-03-30,865.0,0.835,4,4,2,5,5,4.4
P130,stress,31,male,2026-03-14,610.0,0.828,4,3,4,3,3,3.0
P131,stress,24,male,2026-03-28,742.4,0.773,3,3,1,3,5,3.8
P132,stress,29,female,2026-04-06,883.9,0.826,4,4,2,2,4,3.6
P133,control,25,female,2026-04-08,609.6,0.91,2,3,3,3,4,3.0
P134,stress,24,female,2026-03-24,604.7,0.785,3,3,3,4,3,3.2
P135,stress,33,female,2026-03-30,681.9,0.854,4,1,3,3,3,2.8
P136,control,20,female,2026-04-07,613.9,0.88,2,1,3,3,2,2.2
P137,stress,30,male,2026-04-02,793.1,1.0,5,5,1,5,5,5.0
P138,control,30,female,2026-03-13,787.0,0.816,1,2,3,3,3,2.4
P139,control,25,female,2026-03-07,613.1,0.95,3,1,5,3,2,2.0
P140,control,23,male,2026-03-06,792.4,0.852,4,4,3,2,4,3.4
P141,stress,19,male,2026-04-06,668.0,0.831,5,4,1,3,5,4.4
P142,control,33,male,2026-03-24,780.3,0.889,4,3,4,2,4,3.0
P143,control,34,male,2026-03-13,632.5,0.812,2,3,5,3,1,2.0
P144,control,22,female,2026-03-15,650.5,0.901,2,3,2,2,3,2.8
P145,stress,19,female,2026-03-13,768.7,0.816,3,4,2,3,3,3.4
P146,stress,20,non-binary,2026-04-03,788.7,0.756,4,4,3,2,2,3.0
P147,control,20,male,2026-03-26,708.1,0.811,3,5,3,4,4,3.8
P148,control,32,non-binary,2026-04-06,583.4,0.884,3,4,2,3,3,3.4
P149,stress,33,female,2026-03-14,768.4,0.823,2,2,4,3,3,2.4
P150,control,21,male,2026-03-20,611.1,0.796,2,1,4,2,3,2.0
P151,stress,30,male,2026-03-06,741.2,0.841,3,5,2,4,4,4.0
P152,control,21,female,2026-04-09,712.7,0.934,4,4,3,3,3,3.4
P153,stress,24,male,2026-03-22,760.2,0.851,5,4,2,4,4,4.2
P154,control,28,male,2026-03-24,662.3,0.911,3,4,3,3,4,3.4
P155,control,30,female,2026-03-18,641.1,0.983,3,3,3,4,2,3.0
P156,stress,32,female,2026-03-12,784.2,0.935,4,5,2,5,4,4.4
P157,control,19,male,2026-04-08,674.0,0.923,2,3,4,3,4,2.8
P158,stress,22,female,2026-03-21,664.7,0.898,2,2,3,3,3,2.6
P159,stress,23,female,2026-03-28,850.6,0.915,4,4,1,4,3,4.0
P160,stress,23,female,2026-03-03,680.3,0.908,4,5,1,5,4,4.6
P161,stress,34,female,2026-03-13,722.9,0.877,5,3,2,4,5,4.2
P162,stress,31,male,2026-04-03,744.2,0.876,5,2,2,5,5,4.2
P163,control,24,male,2026-03-05,646.7,0.864,4,3,2,4,3,3.6
P164,control,34,female,2026-03-06,584.5,0.838,2,2,4,2,2,2.0
P165,control,26,non-binary,2026-04-03,706.5,1.0,3,3,3,3,3,3.0
P166,stress,27,male,2026-03-14,683.0,0.759,3,4,4,2,3,2.8
P167,control,25,female,2026-03-12,607.4,0.853,4,4,1,4,3,4.0
P168,control,21,male,2026-03-24,593.2,0.936,2,3,5,2,1,1.8
P169,control,33,female,2026-03-09,636.3,0.885,2,3,3,2,3,2.6
P170,control,19,non-binary,2026-03-03,662.3,0.877,3,4,4,5,3,3.4
P171,control,21,male,2026-03-02,559.4,0.918,2,3,3,3,3,2.8
P172,control,22,male,2026-03-05,697.9,0.825,1,3,5,1,1,1.4
P173,stress,23,female,2026-03-08,545.7,0.826,3,4,4,3,4,3.2
P174,stress,21,male,2026-03-29,692.1,0.846,5,5,1,5,5,5.0
P175,stress,19,female,2026-03-13,694.2,0.845,4,5,2,5,5,4.6
P176,control,29,female,2026-03-04,639.0,0.871,3,3,5,3,3,2.6
P177,stress,34,female,2026-03-02,619.8,0.818,4,5,1,4,4,4.4
P178,control,20,male,2026-03-21,631.7,0.869,2,5,1,5,3,4.0
P179,stress,23,female,2026-04-04,767.2,0.781,3,3,2,3,3,3.2
P180,stress,27,male,2026-03-15,585.5,0.867,4,4,2,4,5,4.2
P181,stress,33,male,2026-03-04,782.9,0.84,5,5,1,5,5,5.0
P182,control,30,female,2026-03-11,551.1,0.803,3,5,1,4,3,4.0
P183,control,31,female,2026-03-21,546.2,0.933,2,1,3,1,1,1.6
P184,stress,28,female,2026-03-09,689.6,0.829,5,2,1,3,4,3.8
P185,control,25,male,2026-04-10,663.1,0.909,2,1,5,1,1,1.2
P186,control,22,male,2026-04-01,739.6,0.834,3,1,3,4,3,2.8
P187,control,32,female,2026-03-15,605.5,0.956,1,3,4,1,2,1.8
P188,control,31,male,2026-04-09,439.9,0.952,2,3,5,3,3,2.4
P189,control,19,female,2026-03-15,503.7,0.938,4,4,2,2,5,3.8
P190,control,30,male,2026-03-07,573.4,0.814,2,2,2,2,3,2.6
P191,stress,20,male,2026-04-08,704.3,0.824,4,3,2,4,3,3.6
P192,stress,30,male,2026-04-09,870.1,0.799,4,4,1,4,3,4.0
P193,stress,32,male,2026-03-14,620.7,0.923,5,4,2,4,4,4.2
P194,control,21,male,2026-03-25,615.1,0.889,3,3,3,3,3,3.0
P195,stress,25,female,2026-03-08,748.7,0.917,5,5,1,4,4,4.6
P196,control,20,female,2026-03-27,585.9,0.918,3,5,4,1,2,2.6
P197,control,28,female,2026-03-29,571.0,0.899,3,4,3,4,3,3.4
P198,control,33,female,2026-03-30,678.3,0.905,2,4,2,4,3,3.4
P199,control,20,male,2026-03-24,517.1,0.964,3,2,3,2,1,2.2
P200,stress,25,male,2026-03-30,567.7,0.943,5,5,2,3,5,4.4
P201,control,34,male,2026-03-24,648.2,0.747,1,2,3,2,2,2.0
P202,stress,23,female,2026-04-03,638.8,0.72,4,3,1,5,5,4.4
P203,control,21,male,2026-03-09,767.1,0.882,4,4,2,3,4,3.8
P204,stress,26,female,2026-03-21,712.7,0.841,4,5,1,4,4,4.4
P205,control,27,female,2026-03-18,804.8,0.895,3,2,2,3,3,3.0
P206,control,29,male,2026-03-23,622.0,0.952,4,2,3,4,3,3.2
P207,stress,24,non-binary,2026-03-07,763.4,0.817,5,5,1,5,5,5.0
P208,stress,34,male,2026-03-14,673.0,0.901,4,5,1,3,5,4.4
P209,control,27,female,2026-04-09,553.9,0.844,3,4,2,5,2,3.6
P210,stress,23,male,2026-03-06,790.6,0.851,3,4,4,2,4,3.0
P211,control,34,female,2026-03-27,671.8,0.964,3,3,2,3,2,3.0
P212,stress,33,male,2026-03-28,655.8,0.856,5,4,1,5,3,4.4
P213,stress,26,male,2026-03-20,601.5,0.806,4,4,1,3,5,4.2
P214,control,19,female,2026-03-03,719.0,0.796,2,1,5,2,3,1.8
P215,stress,28,female,2026-03-03,751.4,0.847,5,3,1,5,4,4.4
P216,control,27,female,2026-03-13,754.9,0.92,4,4,2,4,3,3.8
P217,control,21,non-binary,2026-03-06,682.4,0.881,5,5,1,5,3,4.6
P218,control,29,female,2026-03-05,749.1,0.919,4,5,3,5,3,4.0
P219,control,32,male,2026-03-08,489.5,0.82,2,3,4,1,2,2.0
P220,stress,20,male,2026-03-09,793.5,0.769,3,4,4,3,3,3.0
P221,control,30,male,2026-04-04,570.6,0.874,4,3,1,5,3,4.0
P222,control,21,female,2026-03-27,649.5,0.88,2,2,4,3,3,2.4
P223,stress,30,male,2026-03-03,673.1,0.75,5,5,1,5,4,4.8
P224,control,25,female,2026-03-27,626.7,0.861,1,3,4,1,1,1.6
P225,stress,19,male,2026-03-07,676.9,0.788,4,5,2,3,5,4.2
P226,control,34,male,2026-03-18,626.4,0.903,4,3,5,1,1,2.0
P227,stress,21,male,2026-03-03,854.9,0.948,5,5,1,5,5,5.0
P228,stress,28,male,2026-03-05,678.7,0.815,4,3,1,5,4,4.2
P229,stress,21,female,2026-03-07,681.8,0.818,4,4,3,4,4,3.8
P230,control,33,female,2026-03-19,640.5,0.869,4,3,4,4,5,3.6
P231,control,30,female,2026-03-20,675.9,1.0,4,2,3,3,2,2.8
P232,stress,31,female,2026-03-16,805.7,0.833,4,5,2,5,5,4.6
P233,control,25,female,2026-03-26,771.8,0.953,1,2,5,1,1,1.2
P234,stress,26,female,2026-03-30,645.6,0.835,3,4,3,3,5,3.6
P235,control,29,female,2026-03-31,687.2,0.847,2,1,4,4,1,2.0
P236,stress,31,female,2026-03-25,511.2,0.794,5,5,1,5,5,5.0
P237,stress,32,female,2026-03-23,633.3,0.849,3,2,3,3,2,2.6
P238,control,19,male,2026-03-21,715.2,0.939,3,2,4,2,4,2.6
P239,control,29,male,2026-03-11,709.3,0.891,3,2,3,1,2,2.2
P240,stress,20,female,2026-03-21,820.2,0.761,5,5,1,5,5,5.0
